name,cluster,submissions_count,likes_count,companies_count
reverse-string,3,3200000,8300,3
reverse-vowels-of-a-string,3,1500000,4400,4
moving-average-from-data-stream,4,476500,1600,2
top-k-frequent-elements,2,3300000,17000,15
design-tic-tac-toe,4,412800,2000,3
intersection-of-two-arrays,3,1600000,5900,7
intersection-of-two-arrays-ii,3,2100000,7100,2
android-unlock-patterns,4,138800,158,1
data-stream-as-disjoint-intervals,4,178800,1700,1
design-snake-game,4,214500,928,1
russian-doll-envelopes,3,578800,5900,2
design-twitter,4,436300,3800,1
line-reflection,4,113500,295,2
count-numbers-with-unique-digits,4,257200,1500,2
rearrange-string-k-distance-apart,4,164300,950,1
logger-rate-limiter,3,411000,1700,4
sort-transformed-array,4,116800,667,3
bomb-enemy,4,150200,951,2
design-hit-counter,3,345700,2000,4
max-sum-of-rectangle-no-larger-than-k,3,282500,3400,3
nested-list-weight-sum-ii,4,206700,1100,1
water-and-jug-problem,4,246400,1500,2
find-leaves-of-binary-tree,4,315800,3200,1
valid-perfect-square,3,1400000,4200,5
largest-divisible-subset,3,636200,5800,4
plus-one-linked-list,4,129900,934,1
range-addition,4,130000,1600,2
sum-of-two-integers,3,906700,4100,2
super-pow,4,199100,901,0
find-k-pairs-with-smallest-sums,3,722500,6100,8
guess-number-higher-or-lower,3,1200000,3600,1
guess-number-higher-or-lower-ii,4,249000,2100,1
wiggle-subsequence,3,500100,5100,2
combination-sum-iv,3,880900,7300,8
kth-smallest-element-in-a-sorted-matrix,3,969100,9800,4
design-phone-directory,4,126800,349,2
insert-delete-getrandom-o(1),2,1600000,9100,16
insert-delete-getrandom-o(1)---duplicates-allowed,4,396500,2300,2
linked-list-random-node,4,380800,3100,1
ransom-note,3,1800000,4900,2
shuffle-an-array,4,570600,1300,3
mini-parser,4,148700,451,1
lexicographical-numbers,4,188200,1900,2
first-unique-character-in-a-string,2,2700000,8900,6
longest-absolute-file-path,4,323400,1300,3
find-the-difference,3,1200000,4900,3
elimination-game,4,153500,1500,1
perfect-rectangle,4,129500,864,1
is-subsequence,2,2800000,9400,4
utf-8-validation,4,271100,896,1
decode-string,2,1300000,12400,8
longest-substring-with-at-least-k-repeating-characters,3,490500,6100,1
rotate-function,4,198900,1500,1
integer-replacement,4,325100,1300,1
random-pick-index,4,347200,1300,2
evaluate-division,3,740700,9100,8
nth-digit,4,275000,1000,1
binary-watch,4,260899,1400,1
remove-k-digits,3,1200000,8600,2
frog-jump,3,568200,5500,1
sum-of-left-leaves,3,866600,5000,3
convert-a-number-to-hexadecimal,4,295400,1300,1
queue-reconstruction-by-height,3,407800,7000,1
trapping-rain-water-ii,4,181300,3700,1
valid-word-abbreviation,4,495900,697,1
longest-palindrome,3,1200000,5300,2
split-array-largest-sum,3,604300,9600,3
minimum-unique-word-abbreviation,4,36900,179,1
fizz-buzz,3,1700000,2700,6
arithmetic-slices,3,467400,5300,2
third-maximum-number,3,1500000,3000,2
add-strings,3,1300000,5000,3
partition-equal-subset-sum,3,1700000,12000,2
pacific-atlantic-water-flow,3,824700,7200,4
sentence-screen-fitting,4,277900,1100,1
battleships-in-a-board,4,270900,2200,2
strong-password-checker,4,296400,845,1
maximum-xor-of-two-numbers-in-an-array,3,298100,5400,1
valid-word-square,4,137700,413,1
reconstruct-original-digits-from-english,4,155500,815,1
longest-repeating-character-replacement,2,1300000,10300,7
word-squares,4,138400,1100,1
convert-binary-search-tree-to-sorted-doubly-linked-list,4,429300,2600,2
construct-quad-tree,4,156100,1500,2
serialize-and-deserialize-n-ary-tree,4,128300,1000,1
n-ary-tree-level-order-traversal,3,427100,3600,2
flatten-a-multilevel-doubly-linked-list,3,535800,4900,3
encode-n-ary-tree-to-binary-tree,4,27000,517,0
all-o`one-data-structure,4,214300,1500,1
minimum-genetic-mutation,4,296200,2900,1
number-of-segments-in-a-string,4,487800,773,0
non-overlapping-intervals,3,1000000,8000,3
find-right-interval,4,214800,2100,1
path-sum-iii,3,1200000,10800,3
find-all-anagrams-in-a-string,2,1700000,12200,5
ternary-expression-parser,4,53300,481,1
k-th-smallest-in-lexicographical-order,4,71000,758,2
arranging-coins,3,924000,3800,3
find-all-duplicates-in-an-array,3,999500,10300,3
string-compression,3,1000000,4900,10
sequence-reconstruction,4,195500,561,1
add-two-numbers-ii,3,766300,5800,2
arithmetic-slices-ii---subsequence,3,268700,3300,3
number-of-boomerangs,4,179400,820,2
find-all-numbers-disappeared-in-an-array,3,1400000,9300,1
serialize-and-deserialize-bst,3,405100,3500,3
delete-node-in-a-bst,3,943300,8900,3
sort-characters-by-frequency,3,994700,8100,8
minimum-number-of-arrows-to-burst-balloons,3,855900,7400,3
minimum-moves-to-equal-array-elements,4,299900,2500,2
4sum-ii,3,563200,4900,2
assign-cookies,3,818300,3800,4
132-pattern,3,753600,7100,2
circular-array-loop,4,233800,661,1
poor-pigs,4,198700,1800,1
repeated-substring-pattern,3,956200,6300,1
lfu-cache,3,557100,5600,7
hamming-distance,4,753100,3800,1
minimum-moves-to-equal-array-elements-ii,4,297700,3300,1
island-perimeter,3,710100,6200,4
can-i-win,4,316700,2600,1
optimal-account-balancing,4,179700,1400,3
count-the-repetitions,4,60700,397,0
unique-substrings-in-wraparound-string,4,111200,1400,1
validate-ip-address,3,585900,987,4
convex-polygon,4,27100,98,1
implement-rand10()-using-rand7(),4,176300,1100,1
encode-string-with-shortest-length,4,60800,622,1
concatenated-words,4,446600,3800,1
matchsticks-to-square,3,401400,3800,2
ones-and-zeroes,3,420600,5400,1
heaters,4,306800,2100,2
number-complement,3,486200,2700,3
total-hamming-distance,4,204600,2200,1
generate-random-point-in-a-circle,4,101900,450,1
largest-palindrome-product,4,72800,173,1
sliding-window-median,3,370100,3200,3
magical-string,4,70300,304,1
license-key-formatting,4,634400,1100,1
smallest-good-base,4,53600,382,1
find-permutation,4,58000,697,1
max-consecutive-ones,3,1900000,5600,2
predict-the-winner,3,416200,5800,7
max-consecutive-ones-ii,4,284200,1500,1
zuma-game,4,70600,448,1
robot-room-cleaner,4,211000,2700,1
the-maze,4,291800,1800,3
non-decreasing-subsequences,4,273500,3600,1
construct-the-rectangle,4,199800,689,1
reverse-pairs,3,554700,6000,1
target-sum,3,1200000,10700,3
teemo-attacking,4,261899,1100,1
next-greater-element-i,3,961100,7700,2
random-point-in-non-overlapping-rectangles,4,101800,472,1
diagonal-traverse,4,489400,3400,2
the-maze-iii,4,63400,473,0
keyboard-row,4,315800,1600,1
find-mode-in-binary-search-tree,3,538400,3800,2
ipo,4,244400,3000,1
next-greater-element-ii,3,603800,7800,3
base-7,4,259200,780,0
the-maze-ii,4,199500,1300,2
relative-ranks,4,250300,1300,2
perfect-number,4,451200,1000,1
most-frequent-subtree-sum,4,211100,2200,1
fibonacci-number,3,2400000,8000,5
inorder-successor-in-bst-ii,4,106700,859,2
game-play-analysis-i,4,353100,833,1
game-play-analysis-ii,4,160800,263,1
find-bottom-left-tree-value,3,495600,3700,2
freedom-trail,4,76100,898,1
find-largest-value-in-each-tree-row,3,514100,3600,4
longest-palindromic-subsequence,3,757500,9400,1
super-washing-machines,4,70400,758,1
coin-change-ii,3,942200,9200,2
random-flip-matrix,4,50300,427,1
detect-capital,4,753200,3400,1
longest-uncommon-subsequence-i,4,181200,20,1
longest-uncommon-subsequence-ii,4,123800,497,1
continuous-subarray-sum,3,1600000,5500,1
longest-word-in-dictionary-through-deleting,4,299400,1800,2
contiguous-array,3,907500,7800,4
beautiful-arrangement,4,266600,3200,1
word-abbreviation,4,44500,385,3
random-pick-with-weight,3,945700,1800,6
minesweeper,4,232100,1900,1
minimum-absolute-difference-in-bst,3,626300,4300,2
lonely-pixel-i,4,68400,430,2
k-diff-pairs-in-an-array,4,781400,3800,1
lonely-pixel-ii,4,27300,86,1
game-play-analysis-iii,4,92500,390,1
encode-and-decode-tinyurl,4,296000,2000,1
construct-binary-tree-from-string,4,160600,1100,1
complex-number-multiplication,4,131600,703,1
convert-bst-to-greater-tree,3,422800,5100,4
minimum-time-difference,3,256200,1800,5
single-element-in-a-sorted-array,3,1100000,10900,5
reverse-string-ii,4,472200,1900,1
01-matrix,3,1100000,9300,3
diameter-of-binary-tree,2,2400000,13500,4
output-contest-matches,4,35000,390,1
boundary-of-binary-tree,4,289500,1300,4
remove-boxes,4,94300,2200,1
number-of-provinces,3,1300000,9500,1
split-array-with-equal-sum,4,47600,412,1
binary-tree-longest-consecutive-sequence-ii,4,108000,1100,1
game-play-analysis-iv,4,394900,802,1
student-attendance-record-i,4,428300,709,1
student-attendance-record-ii,4,154500,1700,2
optimal-division,4,65400,366,1
brick-wall,4,249400,2500,1
split-concatenated-strings,4,15500,74,1
next-greater-element-iii,3,441000,3600,4
reverse-words-in-a-string-iii,3,1100000,5900,1
logical-or-of-two-binary-grids-represented-as-quad-trees,4,29300,185,0
maximum-depth-of-n-ary-tree,4,386300,2700,1
subarray-sum-equals-k,2,2800000,21100,10
array-partition,4,597400,2000,2
longest-line-of-consecutive-one-in-matrix,4,150800,884,2
binary-tree-tilt,4,339600,2200,1
find-the-closest-palindrome,4,200400,747,2
array-nesting,4,229700,2200,1
reshape-the-matrix,3,593200,3500,3
permutation-in-string,3,1900000,11100,3
maximum-vacation-days,4,82200,565,1
